Ano,Município,Aparelho de Pesca,Pescado,kg no Período,nº de descargas do período
2009,Laguna,Arrasto de parelha,Mistura,"25.150,00",11
2009,Laguna,Arrasto de parelha,Não discriminado,"2.245.250,00",80
2009,Laguna,Arrasto de parelha,Peixe-porco,"2.160,00",2
2009,Laguna,Arrasto de parelha,Peixe-sapo,"1.500,00",1
2009,Laguna,Arrasto de parelha,Pescada,"32.580,00",3
2009,Laguna,Arrasto de parelha,Pescada-amarela,"1.521.300,00",55
2009,Laguna,Arrasto de parelha,Pescadinha-real,"203.800,00",11
2009,Laguna,Arrasto de parelha,Polvo,"50,00",1
2009,Laguna,Arrasto de parelha,Tainha,"200,00",1
2009,Laguna,Arrasto de parelha,Tira-vira,"200,00",1
2009,Laguna,Arrasto duplo,Abrótea,"72.830,00",32
2009,Laguna,Arrasto duplo,Bagre,"320,00",2
2009,Laguna,Arrasto duplo,Betara,"21.060,00",26
2009,Laguna,Arrasto duplo,Cabra,"158.880,00",31
2009,Laguna,Arrasto duplo,Camarão-barba-ruça,"42.600,00",13
2009,Laguna,Arrasto duplo,Camarão-rosa,"2.000,00",1
2009,Laguna,Arrasto duplo,Camarão-santana,"22.975,00",14
2009,Laguna,Arrasto duplo,Camarão-santana + barba-ruca,"2.600,00",3
2009,Laguna,Arrasto duplo,Castanha,"71.740,00",28
2009,Laguna,Arrasto duplo,Corcoroca,"960,00",2
2009,Laguna,Arrasto duplo,Corvina,"115.740,00",31
2009,Laguna,Arrasto duplo,Emplastro,"97.440,00",32
2009,Laguna,Arrasto duplo,Enchova,"140,00",1
2009,Laguna,Arrasto duplo,Enguia,"3.700,00",8
2009,Laguna,Arrasto duplo,Espada,"6.420,00",12
2009,Laguna,Arrasto duplo,Goete,"6.200,00",9
2009,Laguna,Arrasto duplo,Gordinho,"3.720,00",4
2009,Laguna,Arrasto duplo,Linguado,"154.190,00",33
2009,Laguna,Arrasto duplo,Linguado-areia,"14.500,00",9
